poll_num,poll_taste_sweet,poll_taste_sour,poll_taste_body,poll_taste_alcohol
1,3,2,4,10
2,3,1,4,10
3,3,0,1,10
4,3,0,4,10
5,4,1,3,10
6,3,0,3,5
7,0,0,0,5
8,3,1,2,10
9,4,0,0,40
10,3,3,4,10
11,2,2,3,20
12,2,1,3,30
13,3,1,2,20
14,5,0,3,5
15,1,0,0,20
16,5,1,0,5
17,4,1,3,10
18,2,2,2,20
19,3,2,4,10
20,3,1,2,40
21,4,0,4,10
22,2,1,3,20
23,5,1,1,10
24,3,0,2,5
25,3,2,3,10
26,5,0,5,40
27,3,1,2,10
28,4,0,3,10
29,4,2,5,30
30,2,1,2,10
31,3,1,2,10
32,4,2,1,10
33,5,0,5,5
34,5,2,4,5
35,3,3,3,5
36,1,0,3,5
37,2,0,3,5
38,1,4,4,40
39,2,1,1,10
40,3,2,1,20
41,1,2,3,30
42,3,3,3,10
43,4,3,3,10
44,5,3,3,10
45,3,0,3,10
46,3,3,3,20
47,2,0,3,30
48,3,1,2,10
49,2,3,3,10
50,3,1,4,30
51,5,0,3,20
52,2,1,0,5
53,4,1,3,10
54,0,4,3,30
55,4,2,2,20
56,5,2,1,20
57,3,2,0,20
58,3,1,2,5
59,3,2,3,30
60,2,0,4,10
61,3,3,3,10
62,5,0,0,5
63,5,2,2,5
64,4,0,0,10
65,5,0,3,5
66,4,2,5,30
67,3,2,3,10
68,5,5,0,10
69,1,2,4,30
70,5,3,2,5
71,5,0,0,5
72,2,3,4,40
73,5,5,5,10
74,4,2,3,10
75,1,0,3,10
76,2,1,3,20
77,4,2,4,10
78,4,1,4,10
79,5,0,5,30
80,4,0,3,20
81,3,0,2,20
82,3,2,3,20
83,2,2,3,10
84,4,2,3,10
85,3,2,4,10
86,3,1,2,10
87,4,5,4,5
88,2,0,3,10
89,3,2,3,30
90,2,1,2,20
91,0,0,0,20
92,3,2,3,10
93,5,1,4,10
94,2,2,2,10
95,5,5,5,20
96,2,2,5,20
97,0,0,5,20
98,3,1,4,30
99,2,2,3,20
100,3,2,4,20
101,2,0,2,30
102,4,3,4,20
103,4,0,0,5
104,1,1,0,20
105,3,2,3,10
106,3,0,2,10
107,3,1,4,20
108,3,1,3,20
109,4,2,4,10
110,3,2,3,10
111,4,0,3,10
112,5,0,4,10
113,3,1,2,10
114,3,1,1,5
115,2,1,3,10
116,4,3,2,10
117,4,4,4,10
118,2,2,5,30
119,5,2,1,10
120,3,2,2,5
121,3,3,3,20
122,5,5,5,40
123,2,2,4,40
124,3,1,3,10
125,3,5,5,20
126,3,2,2,20
127,2,2,2,10
128,3,5,2,20
129,4,0,3,20
130,3,1,3,20
131,4,1,5,20
132,4,3,5,30
133,4,2,2,10
134,0,0,0,40
135,2,0,3,40
136,3,0,3,30
137,3,1,3,30
138,0,0,3,20
139,3,3,3,10
140,1,0,4,40
141,4,2,3,5
142,4,1,3,20
143,3,1,3,30
144,4,2,0,10
145,1,2,4,30
146,3,3,4,5
147,3,2,4,5
148,2,1,4,40
149,3,1,2,10
150,2,2,3,10
151,4,3,3,10
152,0,0,0,5
153,1,1,1,30
154,4,3,4,30
155,2,2,5,40
156,5,5,5,40
157,2,1,5,30
158,4,0,0,30
159,3,0,3,10
160,4,1,1,5
161,4,2,4,20
162,4,1,2,5
163,2,4,4,10
164,4,0,2,5
165,2,2,3,20
166,3,2,3,5
167,4,2,3,10
168,4,0,1,10
169,3,2,3,5
170,4,3,5,20
171,5,2,2,10
172,3,2,4,10
173,5,0,5,10
174,5,0,3,10
175,4,1,2,10
176,3,1,2,20
177,4,2,3,5
178,5,3,3,40
179,2,0,5,30
180,4,1,3,30
181,5,1,3,10
182,4,1,2,5
183,3,1,3,20
184,3,1,4,5
185,1,0,3,10
186,3,1,4,5
